Date,Hour,Dealers,SKU,SRP,Promotion Price,Change,Sold,Rate,Vendor,Series Group,Segment,CPU Segment,CPU,RAM,SSD,Screen,GPU,V-RAM,Weight,Products link,Part #,Focus Model,Status
22/07/2026,02:09,MBW,"Laptop Asus Vivobook Go 15 E1504FA - BQ374W (R5 40, 8GB, 512GB, Full HD, Win11)",22990000,16990000,-26%,• Đã bán 652,5,Asus,Business& Productivity,Vivobook,Ryzen 5,Ryzen 5 40,RAM 8 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 60 Hz",Radeon,,,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-40-bq374w,E1504FA - BQ374W,No,
22/07/2026,02:09,MBW,"Laptop Lenovo Ideapad Slim 3 16IRH10 - 83K20003VN (i5 13420H, 24GB, 512GB, WUXGA, Win11)",20990000,19190000,-8%,"• Đã bán 4,2k",4.9,Lenovo,Business& Productivity,IdeaPad Slim 3,Core i5,Core i5 13420H,RAM 24 GB,SSD 512 GB,"16"", WUXGA (1920 x 1200)",Intel UHD,,,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-16irh10-i5-83k20003vn,83K20003VN,No,
22/07/2026,02:09,MBW,"Laptop HP 245 G10 - B8PF9AT (R5 7530U, 8GB, 512GB, Full HD, Win11)",21390000,17490000,-18%,"• Đã bán 5,8k",4.9,HP,Business& Productivity,HP 245,Ryzen 5,Ryzen 5 7530U,RAM 8 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/hp-245-g10-r5-b8pf9at,B8PF9AT,No,
22/07/2026,02:09,MBW,"Laptop HP 15 fc0655AU - C81NGPA (R5 7430U, 16GB, 512GB, Full HD, Win11)",23990000,18990000,-20%,"• Đã bán 4,4k",5,HP,Business& Productivity,HP 15,Ryzen 5,Ryzen 5 7430U,RAM 16 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/hp-15-fc0655au-r5-7430u-c81ngpa,C81NGPA,No,
22/07/2026,02:09,MBW,"Laptop Dell 14 DC14250 - DC4C5386W (Core 5 120U, 16GB, 512GB, Full HD+, OfficeH24+365, Win11)",29990000,28990000,,"• Đã bán 1,1k",5,Dell,Business& Productivity,Dell 14,Core 5,Core 5 120U,RAM 16 GB,SSD 512 GB,"14"", Full HD+ (1920 x 1200), 60 Hz",Intel Graphics,,,https://www.thegioididong.com/laptop/dell-14-dc14250-core-5-120u-dc4c5386w,DC4C5386W,No,
22/07/2026,02:09,MBW,"Laptop Asus Vivobook 15 X1504VA - BQ295W (Core 7 150U, 16GB, 512GB, Full HD, Win11)",25990000,21990000,-15%,• Đã bán 643,5,Asus,Business& Productivity,Vivobook,Core 7,Core 7 150U,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 60 Hz",Intel Graphics,,,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-core-7-150u-bq295w,X1504VA - BQ295W,No,
22/07/2026,02:09,MBW,"Laptop Dell 15 DC15250 - CPH99 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365B, Win11)",23490000,20490000,-12%,"• Đã bán 1,3k",5,Dell,Business& Productivity,Dell 15,Core i5,Core i5 1334U,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 120Hz",Intel UHD,,,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-cph99,CPH99,No,
22/07/2026,02:09,MBW,"Laptop Asus TUF Gaming FA506NCQ - HN005W (R7 170, 16GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",29990000,25990000,-13%,• Đã bán 639,5,Asus,Gaming,TUF,Ryzen 7,Ryzen 7 170,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 144Hz",RTX 3050,4G,,https://www.thegioididong.com/laptop/asus-tuf-gaming-fa506ncq-r7-170-hn005w,FA506NCQ - HN005W,Yes,
22/07/2026,02:09,MBW,"Laptop Acer Aspire Lite 15 AL15-49P-R6XX - NX.DRZSV.002 (R5 7430U, 8GB, 512GB, Full HD, Win11)",20990000,17990000,-14%,• Đã bán 5,5,Acer,Business& Productivity,Aspire Lite,Ryzen 5,Ryzen 5 7430U,RAM 8 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-49p-r6xx-r5-7430u-nx-drzsv-002,AL15-49P-R6XX,No,
22/07/2026,02:09,MBW,"Laptop Acer Gaming Aspire 7 A715-59G-59RD - NH.DXUSV.001 (Core 5 210H, 16GB, 512GB, RTX 3050 4GB, Fulll HD 144Hz, Win11)",31990000,25990000,-18%,,,Acer,Gaming,Gaming Aspire,Core 5,Core 5 210H,RAM 16 GB,SSD 512 GB,,RTX 3050,,,https://www.thegioididong.com/laptop/acer-gaming-aspire-7-a715-59g-59rd-core-5-210h-nh-dxusv-001,A715-59G-59RD - NH.DXUSV.001,No,
22/07/2026,02:09,MBW,"Laptop Acer Aspire Lite 15 AL15-33P-38BA - NX.D2KSV.001 (Core 3 N355, 8GB, 512GB, Full HD, Win11)",15490000,14490000,-6%,"• Đã bán 1,3k",5,Acer,Business& Productivity,Aspire Lite,Core 3,Core 3 N355,RAM 8 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 60 Hz",Intel Graphics,,,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-33p-38ba-core-3-n355-nx-d2ksv-001,AL15-33P-38BA,No,
22/07/2026,02:09,MBW,"Laptop Asus Vivobook 15 X1504VA - BQ3394W (i3 1315U, 8GB, 512GB, Full HD, Win11)",16990000,15190000,-10%,"• Đã bán 1,8k",5,Asus,Business& Productivity,Vivobook,Core i3,Core i3 1315U,RAM 8 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 60 Hz",Intel UHD,,,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i3-1315u-bq3394w,X1504VA - BQ3394W,No,
22/07/2026,02:09,MBW,"Laptop HP 240R G9 - AX3C6AT (i3 1315U, 8GB, 512GB, Full HD, Win11)",16390000,14790000,-9%,• Đã bán 351,5,HP,Business& Productivity,HP 240,Core i3,Core i3 1315U,RAM 8 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/hp-240r-g9-i3-1315u-ax3c6at,AX3C6AT,No,
22/07/2026,02:09,MBW,"Laptop HP 15 fd0015TU - A19C5PA (i7 1355U, 16GB, 512GB, Full HD, Win11)",22290000,21190000,,• Đã bán 6k,4.9,HP,Business& Productivity,HP 15,Core i7,Core i7 1355U,RAM 16 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/hp-15-fd0015tu-i7-a19c5pa,A19C5PA,No,
22/07/2026,02:09,MBW,"Laptop Dell 15 DC15255 - X9YM41 (R7 7730U, 16GB, 1TB, Full HD 120Hz, OfficeH24+365B, Win11)",22990000,21990000,,• Đã bán 681,5,Dell,Business& Productivity,Dell 15,Ryzen 7,Ryzen 7 7730U,RAM 16 GB,SSD 1 TB,"15.6"", Full HD (1920 x 1080), 120Hz",Radeon,,,https://www.thegioididong.com/laptop/dell-15-dc15255-r7-7730u-x9ym41,X9YM41,No,
22/07/2026,02:09,MBW,"Laptop Dell 15 DC15250 - 71092479 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeHS24+365B, Win11)",23490000,21990000,-6%,• Đã bán 352,5,Dell,Business& Productivity,Dell 15,Core i5,Core i5 1334U,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 120Hz",Intel UHD,,,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-71092479,71092479,No,
22/07/2026,02:09,MBW,"Laptop Lenovo Gaming LOQ 15IRX9 - 83DV003CVN (i5 13450HX, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",37990000,25990000,-31%,"• Đã bán 2,4k",5,Lenovo,Gaming,LOQ,Core i5,Core i5 13450HX,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 144Hz",RTX 3050,6G,,https://www.thegioididong.com/laptop/lenovo-loq-15irx9-i5-83dv003cvn,83DV003CVN,No,
22/07/2026,02:09,MBW,"Laptop Acer Gaming Nitro ProPanel ANV15 41 R9M1 - NH.QPFSV.004 (R5 7535HS, 16GB, 512GB, RTX3050 6GB, Full HD 180Hz, Win11)",29990000,24990000,-16%,• Đã bán 286,5,Acer,Gaming,Nitro ProPanel,Ryzen 5,Ryzen 5 7535HS,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 180 Hz",RTX 3050,6G,,https://www.thegioididong.com/laptop/acer-nitro-v-15-propanel-anv15-41-r9m1-r5-7535hs-nh-qpfsv-004,ANV15 41 R9M1,No,
22/07/2026,02:09,MBW,"Laptop Acer Aspire Lite 15 AL15-21P-R91W - NX.DNRSV.002 (R5 40, 16GB, 512GB, Full HD, Win11)",22990000,19590000,-14%,• Đã bán 21,5,Acer,Business& Productivity,Aspire Lite,Ryzen 5,Ryzen 5 40,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080)",Radeon,,,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-21p-r91w-r5-40-nx-dnrsv-002,AL15-21P-R91W,No,
22/07/2026,02:09,MBW,Laptop MacBook Pro 16 inch M5 Pro 24GB/1TB,81990000,80990000,,• Đã bán 50,5,MacBook,Business& Productivity,MacBook Pro,,,RAM 24 GB,SSD 1 TB,,,,,https://www.thegioididong.com/laptop/macbook-pro-16-inch-m5-pro-24gb-1tb,,No,
22/07/2026,02:09,MBW,"Laptop Acer Aspire Go 15 AG15-52P-52WT - NX.JWKSV.001 (Ultra 5 115U, 16GB, 512GB, Full HD, Win11)",24990000,21690000,-13%,• Đã bán 15,5,Acer,Business& Productivity,Aspire Go,Core Ultra 5,Core Ultra 5 115U,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080)",Intel Graphics,,,https://www.thegioididong.com/laptop/acer-aspire-go-15-ag15-52p-52wt-ultra-5-115u-nx-jwksv-001,AG15-52P-52WT,No,
22/07/2026,02:09,MBW,"Laptop Acer Aspire Lite 15 AL15 41P R3QL - NX.J54SV.001 (R7 5700U, 8GB, 512GB, Full HD, Win11)",15490000,14490000,-6%,"• Đã bán 3,6k",5,Acer,Business& Productivity,Aspire Lite,Ryzen 7,Ryzen 7 5700U,RAM 8 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080)",Radeon,,,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-41p-r3ql-r7-nxj54sv001,AL15 41P R3QL,No,
22/07/2026,02:09,MBW,"Laptop Asus Vivobook S16 S3607VA - RP155WS (Core 5 210H, 16GB, 512GB, WUXGA 144Hz, OfficeH24+365, Win11)",24490000,20590000,-15%,"• Đã bán 1,4k",5,Asus,Business& Productivity,Vivobook,Core 5,Core 5 210H,RAM 16 GB,SSD 512 GB,"16"", WUXGA (1920 x 1200), 144Hz",Intel UHD,,,https://www.thegioididong.com/laptop/asus-vivobook-s16-s3607va-core-5-210h-rp155ws,S3607VA - RP155WS,No,
22/07/2026,02:09,MBW,"Laptop HP Pavilion 16 af0055TU - AY8C4PA (Ultra 5 125U, 16GB, 512GB, WUXGA, OfficeHS+365, Win11)",22790000,22390000,,"• Đã bán 2,1k",5,HP,Business& Productivity,Pavilion,Core Ultra 5,Core Ultra 5 125U,RAM 16 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/hp-pavilion-16-af0055tu-ultra-5-ay8c4pa,AY8C4PA,No,
22/07/2026,02:09,MBW,"Laptop Lenovo IdeaPad Slim 5 OLED 14AKP10 - 83HX0066VN (R7 AI 350, 32GB, 512GB, WUXGA OLED, Win11)",35990000,29990000,-16%,• Đã bán 1k,5,Lenovo,Business& Productivity,IdeaPad Slim 5,Ryzen 7 AI,Ryzen AI 7 350,RAM 32 GB,SSD 512 GB,"14"", WUXGA (1920 x 1200) - OLED",AMD Radeon 860M Graphics,,,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-oled-14akp10-r7-ai-350-83hx0066vn,83HX0066VN,No,
22/07/2026,02:09,MBW,"Laptop HP 240 G10 - B73TJAT (i3 1315U, 8GB, 512GB, Full HD, Win11)",15890000,14990000,-5%,"• Đã bán 3,3k",4.9,HP,Business& Productivity,HP 240,Core i3,Core i3 1315U,RAM 8 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/hp-240-g10-i3-b73tjat,B73TJAT,No,
22/07/2026,02:09,MBW,"Laptop Asus Vivobook 14 X1407CA - LY008W (Ultra 5 225H, 16GB, 512GB, WUXGA, Win11)",25990000,21890000,-15%,• Đã bán 331,5,Asus,Business& Productivity,Vivobook,Core Ultra 5,Core Ultra 5 225H,RAM 16 GB,SSD 512 GB,"14"", WUXGA (1920 x 1200), 60 Hz",Intel Arc Graphics,,,https://www.thegioididong.com/laptop/asus-vivobook-14-x1407ca-ultra-5-225h-ly008w?utm_flashsale=1,X1407CA - LY008W,No,
22/07/2026,02:09,MBW,"Laptop Dell Pro 14 Essential PV14250 - PV14250-120U-16512W-BL (Core 5 120U, 16GB, 512GB, Full HD+, OfficeH24+365, Win11)",28990000,27990000,,• Đã bán 671,5,Dell,Business& Productivity,Dell Pro,Core 5,Core 5 120U,RAM 16 GB,SSD 512 GB,"14"", Full HD+ (1920 x 1200)",Intel UHD,,,https://www.thegioididong.com/laptop/dell-pro-14-essential-pv14250-core-5-120u-pv14250-120u-16512w-bl,BL,No,
22/07/2026,02:09,MBW,"Laptop Asus Vivobook Go 15 E1504FA - BQ350W (R5 40, 16GB, 512GB, Full HD, Win11)",28490000,18990000,-33%,• Đã bán 254,4.9,Asus,Business& Productivity,Vivobook,Ryzen 5,Ryzen 5 40,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 60 Hz",Radeon,,,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-40-bq350w,E1504FA - BQ350W,No,
22/07/2026,02:09,MBW,"Laptop Dell 15 DC15250 - 71071928 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365B, Win11)",23490000,20490000,-12%,"• Đã bán 1,3k",5,Dell,Business& Productivity,Dell 15,Core i5,Core i5 1334U,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 120Hz",Intel UHD,,,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-71071928,71071928,No,
22/07/2026,02:09,MBW,"Laptop Acer Aspire Go 15 AG15-72P-500W - NX.JRRSV.007 (Core 5 120U, 16GB, 512GB, Full HD, Win11)",23990000,18990000,-20%,• Đã bán 59,5,Acer,Business& Productivity,Aspire Go,Core 5,Core 5 120U,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 60 Hz",Intel UHD,,,https://www.thegioididong.com/laptop/acer-aspire-go-15-ag15-72p-500w-core-5-120u-nx-jrrsv-007,AG15-72P-500W,No,
22/07/2026,02:09,MBW,"Laptop MSI Gaming Katana 15 B13VFK - 676VN (i7 13620H, 16GB, 1TB, RTX 4060 8GB, Full HD 144Hz, Win11)",31990000,30390000,-5%,"• Đã bán 1,1k",4.9,MSI,Gaming,Katana,Core i7,Core i7 13620H,RAM 16 GB,SSD 1 TB,"15.6"", Full HD (1920 x 1080), 144Hz",RTX 4060,8G,,https://www.thegioididong.com/laptop/msi-katana-15-b13vfk-i7-676vn,676VN,No,
22/07/2026,02:09,MBW,"Laptop Lenovo IdeaPad Slim 5 OLED 14AKP10 - 83HX0065VN (R5 AI 340, 32GB, 512GB, WUXGA OLED, Win11)",33990000,28490000,-16%,• Đã bán 1k,5,Lenovo,Business& Productivity,IdeaPad Slim 5,Ryzen 5 AI,Ryzen AI 5 340,RAM 32 GB,SSD 512 GB,"14"", WUXGA (1920 x 1200) - OLED",AMD Radeon 840M,,,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-oled-14akp10-r5-ai-350-83hx0065vn,83HX0065VN,No,
22/07/2026,02:09,MBW,"Laptop Acer Gaming Nitro V 15 ProPanel ANV15 41 R0FE - NH.QPFSV.005 (R7 7735HS, 16GB, 512GB, RTX 3050 6GB, Full HD 180Hz, Win11)",32990000,26990000,-18%,• Đã bán 15,5,Acer,Gaming,Nitro V,Ryzen 7,Ryzen 7 7735HS,RAM 16 GB,SSD 512 GB,"15.6"", Full HD (1920 x 1080), 180 Hz",RTX 3050,6G,,https://www.thegioididong.com/laptop/acer-nitro-v-15-propanel-anv15-41-r0fe-r7-7735hs-nh-qpfsv-005,ANV15 41 R0FE,No,
22/07/2026,02:09,MBW,"Laptop Acer Gaming Nitro ProPanel ANV15 52 59AA - NH.QZ9SV.002 (i5 13420H, 16GB, 512GB, RTX 5050 8GB, Full HD 180Hz, Win11)",37990000,31590000,-16%,• Đã bán 51,5,Acer,Gaming,Nitro ProPanel,Core i5,Core i5 13420H,RAM 16 GB,SSD 512 GB,,RTX 5050,8G,,https://www.thegioididong.com/laptop/acer-nitro-v-15-propanel-anv15-52-59aa-i5-13420h-nh-qz9sv-002,ANV15 52 59AA,No,
22/07/2026,02:09,MBW,"Laptop Acer Gaming Predator Helios Neo 16 AI PHN16 73 757W - NH.QVQSV.001 (Ultra 7 255HX, 32GB, 1TB, RTX 5060 8GB, 2K+ 240Hz, Win11)",62990000,60990000,,• Đã bán 1,,Acer,Gaming,Predator,Core Ultra 7,Core Ultra 7 255HX,RAM 32 GB,SSD 1 TB,"16"", 2K+ (2560 x 1600), 240Hz",RTX 5060,8G,,https://www.thegioididong.com/laptop/acer-gaming-predator-helios-neo-16-ai-phn16-73-757w-nh-qvqsv-001,PHN16 73 757W,No,
22/07/2026,02:09,MBW,"Laptop Asus Vivobook 14 X1404VA - EB155WS (Core 5 120U, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",20190000,17990000,-10%,"• Đã bán 3,5k",5,Asus,Business& Productivity,Vivobook,Core 5,Core 5 120U,RAM 16 GB,SSD 512 GB,"14"", Full HD (1920 x 1080)",Intel Graphics,,,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-core-5-eb155ws,X1404VA - EB155WS,No,
22/07/2026,02:09,MBW,"Laptop HP 15 fd1486TU - D0BH3PA (Ultra 5 125H, 24GB, 512GB, Full HD, Win11)",24390000,22490000,-7%,• Đã bán 475,5,HP,Business& Productivity,HP 15,Core Ultra 5,Core Ultra 5 125H,RAM 24 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/hp-15-fd1486tu-ultra-5-125h-d0bh3pa,D0BH3PA,No,
22/07/2026,02:09,MBW,"Laptop HP 15 fd0234TU - 9Q969PA-120U (Core 5 120U, 16GB, 512GB, Full HD, Win11)",21390000,19690000,-7%,"• Đã bán 3,2k",5,HP,Business& Productivity,HP 15,Core 5,Core 5 120U,RAM 16 GB,SSD 512 GB,,,,,https://www.thegioididong.com/laptop/hp-15-fd0234tu-core-5-120u-9q969pa-120u,9Q969PA,No,
22/07/2026,02:09,MBW,"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000FVN (i7 13620H, 24GB, 512GB, WUXGA, Win11)",24990000,22590000,-9%,• Đã bán 3k,4.9,Lenovo,Business& Productivity,IdeaPad Slim 3,Core i7,Core i7 13620H,RAM 24 GB,SSD 512 GB,"15.3"", WUXGA (1920 x 1200)",Intel UHD,,,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i7-83k1000fvn,83K1000FVN,No,
